iter	Passed	Remaining
0	32	32156
1	56	28230
2	85	28510
3	114	28391
4	161	32183
5	216	35862
6	249	35325
7	296	36765
8	338	37225
9	370	36643
10	417	37493
11	468	38537
12	533	40517
13	600	42304
14	641	42114
15	674	41485
16	722	41798
17	762	41602
18	804	41543
19	850	41678
20	906	42241
21	986	43841
22	1069	45420
23	1118	45495
24	1150	44888
25	1190	44602
26	1228	44286
27	1287	44711
28	1327	44447
29	1370	44324
30	1404	43903
31	1442	43623
32	1473	43185
33	1510	42922
34	1551	42769
35	1587	42506
36	1616	42066
37	1667	42224
38	1702	41953
39	1744	41871
40	1784	41728
41	1811	41323
42	1871	41656
43	1909	41493
44	1938	41147
45	2006	41615
46	2055	41679
47	2100	41652
48	2122	41187
49	2140	40673
50	2158	40167
51	2179	39727
52	2198	39275
53	2225	38989
54	2235	38416
55	2252	37967
56	2270	37564
57	2284	37098
58	2304	36748
59	2345	36739
60	2403	37001
61	2456	37171
62	2505	37269
63	2567	37549
64	2617	37646
65	2650	37509
66	2686	37406
67	2726	37372
68	2757	37211
69	2788	37044
70	2818	36881
71	2847	36695
72	2887	36663
73	2935	36739
74	2977	36723
75	3020	36718
76	3063	36718
77	3105	36702
78	3148	36705
79	3209	36904
80	3253	36915
81	3297	36916
82	3345	36960
83	3381	36877
84	3424	36858
85	3490	37097
86	3552	37284
87	3593	37245
88	3637	37235
89	3693	37344
90	3728	37248
91	3764	37156
92	3799	37059
93	3832	36940
94	3869	36864
95	3900	36725
96	3931	36601
97	3965	36494
98	3997	36377
99	4041	36376
100	4076	36285
101	4117	36252
102	4149	36139
103	4190	36103
104	4227	36035
105	4259	35928
106	4304	35921
107	4348	35917
108	4392	35902
109	4427	35818
110	4459	35715
111	4481	35531
112	4511	35413
113	4535	35249
114	4565	35133
115	4619	35203
116	4673	35273
117	4726	35331
118	4784	35418
119	4837	35472
120	4899	35593
121	4946	35601
122	4992	35598
123	5055	35716
124	5145	36018
125	5234	36310
126	5304	36461
127	5403	36809
128	5481	37013
129	5526	36985
130	5578	37003
131	5638	37078
132	5729	37346
133	5789	37414
134	5864	37575
135	5929	37670
136	5993	37751
137	6039	37727
138	6067	37582
139	6103	37492
140	6139	37400
141	6178	37331
142	6206	37198
143	6251	37158
144	6297	37135
145	6339	37081
146	6419	37252
147	6482	37320
148	6577	37564
149	6623	37532
150	6646	37369
151	6668	37204
152	6710	37150
153	6816	37444
154	6887	37548
155	6938	37541
156	6962	37386
157	6990	37252
158	7031	37194
159	7062	37079
160	7099	36995
161	7125	36857
162	7158	36757
163	7180	36603
164	7215	36512
165	7247	36413
166	7281	36319
167	7313	36221
168	7334	36067
169	7361	35943
170	7413	35940
171	7456	35896
172	7494	35825
173	7522	35709
174	7554	35613
175	7656	35846
176	7710	35852
177	7781	35936
178	7846	35990
179	7945	36195
180	7973	36077
181	8006	35983
182	8046	35921
183	8051	35707
184	8075	35575
185	8115	35514
186	8143	35406
187	8155	35224
188	8185	35124
189	8226	35071
190	8299	35151
191	8343	35112
192	8377	35027
193	8406	34925
194	8430	34801
195	8441	34628
196	8470	34527
197	8491	34396
198	8509	34250
199	8519	34079
200	8535	33929
201	8549	33773
202	8562	33617
203	8574	33457
204	8586	33299
205	8600	33148
206	8612	32992
207	8623	32835
208	8635	32681
209	8645	32524
210	8655	32367
211	8667	32216
212	8679	32069
213	8689	31915
